id,name,time,utc_offset,group_id,venue_id,status,description
"81702452","Conecta tu negocio - Crea y digitaliza tu negocio",1348124400000,7200000,4678242,9175992,"past","<p>Google nos invita a la Google House para impartir un taller 100 % práctico en el que contarte las claves para crear tu negocio y lanzarlo.</p> <p>Curso gratuito de 4 horas de duración. Te enseñamos a configurar tu tienda online y a utilizar herramientas de Marketing Online, como Google AdWords.</p>"
"81586912","HTML5 Tour: Programación de Videojuegos HTML5",1348160400000,7200000,2301351,3360802,"past","<p>Descripción de la charla</p> <p>


Durante la charla se tratarán los siguientes puntos:</p> <p> </p> <p><b>Limitaciones navegadores: Volviendo al old school</b></p> <p><b>Novedades Html5</b></p> <p>Canvas VS SVG.</p> <p><b>Estructura básica de los videojuegos HTML5</b></p> <p>Gameloop: requestAnimationFrame VS setTimeOut.</p> <p>Keyhandlers.</p> <p>Draw: Pintando nuestro juego.</p> <p>CanvasBuffer.</p> <p><b>Juegos 2D</b></p> <p>Manejando Sprites.</p> <p>Sonidos en html5.</p> <p>Video y Canvas.</p> <p>Ejemplo práctico: Juegos de plataformas.</p> <p><b>Juegos 3D</b></p> <p>WebGL.</p> <p>Wave JS.</p> <p>Ejemplo práctico: Project Prometheus</p> <p> </p> <p> </p> <p><b>Bio del ponente</b></p> <p><b>Fernando Oteros</b></p> <p>Desarrollador FrontEnd (flash/unity/js) /backend (php) reconvertido a desarrollador HTML5/JS. Tras 7 años  en empresas de marketing y  de fundar la suya propia, actualmente trabaja en Plain Concepts Madrid dónde ha participado en proyectos cómo Prometheus: Training Center o The Hunger Games.</p>"
"81146502","Mesa Redonda ""Como gestionar el talento de una PYME""",1348758000000,7200000,4678242,9109202,"past","<p>El garAJE acoge el próximo 27 de septiembre la Mesa Redonda sobre “Cómo gestionar el talento de una Pyme” - Asistencia Gratuita.</p> <p>Profesionales del sector como:<br/>Rafael Ortiz, Director de Graco<br/>Pablo Gonzalo, Socio Director de Alcor Consultores<br/>Ángel María Herrera, Fundador de Bubok<br/>Félix López, Director de Relaciones Institucionales de AJE Madrid y<br/>Juan Fernández-Aceytuno, Fundador de Know Square<br/>...serán los encargados, gracias a su experiencia, de contarnos cuáles son las claves para que las pymes optimicen sus recursos y obtengan el impulso y consolidación que necesitan.</p> <p>Saca aqui tu entrada: <a href=""http://www.ticketea.com/mesa-redonda-gestionar-el-talento-en-una-pyme"" class=""linkified"">http://www.ticketea.com/mesa-redonda-gestionar-el-talento-en-una-pyme</a></p>"
"83242422","Reunión septiembre",1348763400000,7200000,3936622,1557758,"past",
"83587062","HTML Tour by Plain Concepts",1349854200000,7200000,2301351,1557758,"past","<p>L@s chic@s de <b>Plain Concepts</b> nos presentan HTML Tour donde buscan despertar en los desarrolladores y diseñadores web una curiosidad por explorar nuevas posibilidades en aspectos atípicos del desarrollo web tradicional.</p> <p> </p> <p>HTML5 ha supuesto una apuesta muy fuerte de la industria por una tecnología interoperable que permite llevar a todos los usuarios aplicaciones web sin importar el soporte desde el cual el usuario las visualizará, independientemente de su navegador y del dispositivo.</p> <p> </p> <p>Este será el horario:</p> <p> </p> <p><b>9:30 - 10:00 Introducción a los nuevos estándares web</b></p> <p><br/><b>10:00 - 11:30 Construyendo tu ecosistema de desarrollo Web</b></p> <p>En esta sesión daremos un repaso a los distintos tipos de aplicaciones web que podemos desarrollar, decidiremos cual es más adecuado para cada situación y veremos de que frameworks y herramientas disponemos para desarrollarlos. Utilizaremos Asp.net MVC4 para crear desde webs más “sencillas” hasta single page applications. Intentaremos perderle el miedo a javascript y veremos algunos frameworks como knockout, crearemos Apis Rest con Web Api, y veremos cómo consumir datos en tiempo real con signalR.</p> <p>11:30 - 11:45 Café</p> <p><b>11:45 - 12:30 Responsive Web Design</b></p> <p>En esta charla veremos como conseguir que nuestra página web se vea correctamente tanto en nuestros móviles, como en nuestra pantalla de pc, sin tener que crear una versión diferente para cada uno de los dispositivos. Veremos además, las diferentes técnicas que podemos aplicar para conseguir el resultado deseado, centrandonos sobre todo en Progressive Enhacement.</p> <p><br/><b>12:30 - 13:30 Buenas prácticas en el desarrollo web</b></p> <p>El objetivo de esta sesión es mejorarle la vida al desarrollador. Mediante herramientas y buenas prácticas veremos cómo cometer menos errores y como testear javascript, como ser mucho más productivos con nuestras css’s y evitar el caos mediante OOCSS y less. Para finalizar veremos el proceso de subida a producción de nuestra aplicación.</p> <p>13:30 - 14:30 Comida</p> <p><b>14:30 - 15:30 Aplicaciones móviles multiplataforma</b></p> <p>En esta sesión conoceremos la plataforma de desarrollo Phonegap, cuando nos puede interesar utilizarla y cuando no, veremos cómo podemos aprovechar nuestros conocimientos de HTML5, CSS y javascript para crear aplicaciones nativas en múltiples plataformas móviles y cómo tenemos acceso a interacción con el dispositivo (camera, geolocation, contacts, …). Para todo esto nos apoyaremos en el framework web, optimizado para gestos, jquerymobile. Write less, do more.</p> <p><br/><b>15:30 - 16:30 Programación de Videojuegos HTML5</b></p> <p>En la charla veremos características comúnes de los juegos y su aplicación práctica en Canvas HTML5. Analizaremos varios tipos de juegos, tanto 2D cómo 3D y estudiaremos las diferentes maneras implementarlos mientras comentámos las partes clave de su estructura. Para finalizar echaremos un vistazo al framework desarrollado por PlainConcepts para la creación de diferentes tipos de juegos.</p> <p><br/><b>16:30 - 17:30 De la web a Windows 8. 5 + 3 = 8</b></p> <p>Los desarrolladores web tenemos con Windows 8 la oportunidad de crear aplicaciones nativas HTML5+CSS3+JS. En esta charla aprenderemos a seguir los patrones de “Windows 8 Style”, utilizar controles que nos proporciona WinJS, Live Tiles e integrar nuestra aplicación con Windows gracias a los contratos de búsqueda, compartir y configuración.</p> <p> </p>"
"86370732","WebRTC: Comunicaciones en tiempo real desde tu navegador",1351184400000,7200000,2301351,3360802,"past","<p><b>Descripción de la charla</b></p> <p>WebRTC permitirá comunicación en tiempo real desde el navegador. En esta charla veremos los desafíos que se presenta para hacer videoconferencia multiusuario y enseñaremos Lynckia, un API que facilita su implementación a los desarrolladores JavaScript.</p> <p>

 </p> <p> </p> <p><b>El Ponente</b><br/>Javier Cerviño está realizando el doctorado enTelecomunicaciones en temas de videoconferencia en plataformas deCloud Computing, donde ha realizado múltiples sistemas devideoconferencia multiusuario basados en la web para proyectoseuropeos y nacionales. Actualmente está involucrado en el desarrollode un servicio de videoconferencia basado en WebRTC.</p> <p>Twitter: jcagueWeb:</p> <p><a href=""http://www.dit.upm.es/jcervino"" class=""linkified"">http://www.dit.upm.es/jcervino</a></p> <p><img src=""http://photos4.meetupstatic.com/photos/event/d/0/4/event_172203332.jpeg"" /></p>"
"86068282","Primeros pasos para un exportador de éxito",1351585800000,3600000,4678242,9695252,"past","<p><img src=""http://photos2.meetupstatic.com/photos/event/c/0/b/e/event_167209342.jpeg"" /></p> <p> </p> <p> </p> <p>Jacinto Iglesias, director general de Crédito y Caución, y Félix López, director de Relaciones Institucionales de AJE Madrid, se complacen en invitarle a la sesión:</p> <p>""Primeros pasos de un exportador de éxito""</p> <p>Contará con la participación de <b>Carlos Pobre, director de Comercio Exterior de Crédito y Caución</b> y de <b>Clemente Cebrián, fundador de ""El Ganso""</b>, como caso práctico de empresa española que está implantándose con éxito a nivel internacional</p> <p>SRC: teléfono[masked] o [masked]</p> <p> </p>"
"88494432","Fixtures & Spring Security OTP",1351623600000,3600000,3936622,9990432,"past","<p>En esta reunión tendremos dos ponentes:</p> <p><a href=""https://twitter.com/mgryszko"">Marcin Gryszko</a> nos hablará sobre testing y fixtures en Grails. <a href=""https://twitter.com/rafael_luque"">Rafael Luque</a> nos contará sus experiencias desarrollando el plugin Spring Security OTP. Esta reunión se realizará en las oficinas de <a href=""http://www.kaleidos.net"">Kaleidos</a>.</p>"
"90184472","Afterwork AJE Madrid",1352401200000,3600000,4678242,4427912,"past","<p> </p> <p>Uno de nuestros evento estrella, el Afterwork.</p> <p>Te esperamos en Castellana 8 uno de los locales de moda más exclusivos de Madrid para que nos veamos y hagamos networking.</p> <p>Puedes disfrutar de una copa, picoteo y el mejor ambiente por 15 €.</p> <p>Saca tu entrada en Ticketea: <a href=""http://www.ticketea.com/afterwork-8-de-noviembre"" class=""linkified"">http://www.ticketea.com/afterwork-8-de-noviembre</a></p> <p> </p>"
"69632812","Big Data Spain 2012",1353052800000,3600000,4107992,9304622,"past","<p>Big Data Spain 2012</p> <p>First International Conference about Big Data<br/>16 Nov 2012, Madrid, Spain</p> <p>ESTIT UPM (Campus Complutense)<br/>Av. Complutense 30</p> <p>PROGRAM PUBLISHED ON THE SITE<br/><a href=""http://www.bigdataspain.org""><a href=""http://www.bigdataspain.org"" class=""linkified"">http://www.bigdataspain.org</a></a></p> <p>SPEAKER LIST</p> <p>Jon Bruner (O'Reilly Media)<br/>Jonathan Ellis (DataStax)<br/>Alan Gates (Hortonworks)<br/>Nati Shalom (GigaSpaces)<br/>Jordan Tigani (Google)<br/>Oscar de Bustos (Bull)<br/>Brendan McAdams (MongoDB)<br/>Pablo Doval &amp; Ibon Landa (Plain Concepts)<br/>Roberto Maestre &amp; Ruben Abad (Paradigma Tecnológico)<br/>Francesc Alted (Continuum Analytics)<br/>Ivan de Prado (Datasalt)<br/>Don Rochette (AppFirst)<br/>Rubén Jimenez (Icinetic) &amp; Hector Miras (Hospital Virgen Macarena)<br/>Julien Cabot (OCTO Technology)</p> <p> </p>"
